Errors,Count
gdm-x-session[1772],624
systemd[1678],272
systemd[1150],258
systemd[1],160
dbus-daemon[1695],121
anager[584],83
gnome-shell[1997],79
gnome-shell[2348],56
ntpd[846],52
dbus-daemon[583],43
systemd-resolved[480],35
gdm-x-session[1869],32
dbus-daemon[1212],31
avahi-daemon[579],17
rtkit-daemon[1214],16
tracker-miner-f[1209],13
gnome-shell[1316],9
desktop[4715],6
udisksd[8344],6
thermald[621],5
snapd[618],5
gnome-shell[4524],5
gnome-shell[5177],5
g[8345],5
udisksd[622],4
whoopsie[1085],4
gnome-shell[1603],4
gsd-media-keys[1472],4
gsd-media-keys[2059],4
dnsmasq[840],3
colord[803],3
gdm-x-session[1816],3
nautilus[2514],3
anacron[577],3
ntpd[828],2
anager[825],2
apachectl[861],2
tracker-extract[1208],2
gnome-keyring-d[1298],2
sh[1307],2
at-spi-bus-launcher[1419],2
gnome-session-binary[1309],2
desktop[1543],2
tracker-miner-f[1692],2
tracker-extract[1691],2
at-spi-bus-launcher[1907],2
gnome-session-binary[1967],2
gsd-sharing[2070],2
tracker-miner-fs[1209],2
tracker-extract[3461],2
desktop[4787],2
desktop[4775],2
desktop[4814],2
tracker-extract[5084],2
tracker-extract[5142],2
tracker-extract[7908],2
tracker-extract[7945],2
tracker-extract[8045],2
tracker-extract[8160],2
tracker-extract[8638],2
tracker-extract[8668],2
tracker-extract[8874],2
tracker-extract[9050],2
tracker-extract[9076],2
tracker-extract[9104],2
tracker-extract[9132],2
tracker-extract[9157],2
tracker-extract[9182],2
tracker-extract[9225],2
supplicant[623],1
polkitd[615],1
dnsmasq[805],1
accounts-daemon[568],1
apachectl[884],1
networkd-dispatcher[1133],1
gnome-session-c[1293],1
gnome-keyring-d[1299],1
sh[1290],1
goa-daemon[1282],1
at-spi-bus-launcher[1467],1
tracker-store[1374],1
goa-daemon[1745],1
gdm-x-session[1795],1
gdm-x-session[1813],1
gdm-x-session[1824],1
gdm-x-session[1857],1
gdm-x-session[1865],1
at-spi-bus-launcher[1918],1
gnome-session-c[1945],1
gnome-session[1967],1
desktop[1994],1
desktop[1995],1
gnome-shell[2022],1
desktop[2090],1
gsd-print-notif[1483],1
gsd-xsettings[1623],1
gsd-color[2053],1
gnome-session[1309],1
sh[2234],1
gvfsd[1240],1
dbus-daemon[2241],1
geoclue[1462],1
pulseaudio[1690],1
tracker-store[1774],1
anacron[2934],1
tracker-store[3450],1
[4033],1
systemd-tmpfiles[4060],1
tracker-store[4679],1
tracker-store[5071],1
tracker-store[5135],1
tracker-store[7774],1
tracker-store[7901],1
tracker-store[8038],1
tracker-store[8153],1
[8201],1
gnome-terminal-server[8263],1
tracker-store[8353],1
tracker-store[8414],1
[8476],1
tracker-store[8631],1
[8751],1
tracker-store[8794],1
tracker-store[8867],1
tracker-store[8973],1
tracker-store[9006],1
tracker-store[9043],1
tracker-store[9218],1
